institutionId,fullName,gender,phoneNumber,email
24KP5D4135,Raghav Sharma,Male,9986005495,raghav.sharma16@gmail.com
24KP5D6399,Prerna Gaur,Female,9445082697,prerna.gaur18@gmail.com
24KP5D5863,Rohan Chatterjee,Male,9664457356,rohan.chatterjee33@gmail.com
24KP1A3396,Ojaswini Reddy,Female,9186252704,ojaswini.reddy29@gmail.com
24KP4C5388,Harshvardhan Verma,Male,9199837539,harshvardhan.verma24@gmail.com
24KP3H6653,Kriti Iyer,Female,9157289667,kriti.iyer22@gmail.com
24KP4C4865,Abhay Pratap,Male,9154845997,abhay.pratap99@gmail.com
24KP4C4291,Sneha Jha,Female,9314237229,sneha.jha82@gmail.com
24KP2B6331,Abhay Das,Male,9635664494,abhay.das85@gmail.com
24KP1A5795,Tanya Patil,Female,9543290875,tanya.patil64@gmail.com
24KP3H4968,Aman Sinha,Male,9779208912,aman.sinha17@gmail.com
24KP6E4558,Riya Tiwari,Female,9631000296,riya.tiwari46@gmail.com
24KP4C5536,Akshay Mahajan,Male,9829267069,akshay.mahajan91@gmail.com
24KP3H5355,Prerna Chatterjee,Female,9790242109,prerna.chatterjee80@gmail.com
24KP4C4588,Jayant Rane,Male,9393554408,jayant.rane58@gmail.com
24KP5D5515,Shruti Naik,Female,9649992258,shruti.naik73@gmail.com
24KP5D3967,Rajat Rawat,Male,9338982457,rajat.rawat40@gmail.com
24KP6E5691,Deepika Ghosh,Female,9951198813,deepika.ghosh22@gmail.com
24KP1A5535,Siddharth Kotian,Male,9770704798,siddharth.kotian51@gmail.com
24KP2B6081,Pooja Bora,Female,9139969119,pooja.bora59@gmail.com
24KP5D4893,Parth Khurana,Male,9983923061,parth.khurana63@gmail.com
24KP3H3439,Lavanya Rao,Female,9878143643,lavanya.rao39@gmail.com
24KP4C4380,Tanishq Bhatt,Male,9353969398,tanishq.bhatt15@gmail.com
24KP6E6720,Ananya Rao,Female,9741044484,ananya.rao60@gmail.com
24KP6E4731,Siddharth Patil,Male,9660278532,siddharth.patil59@gmail.com
24KP3H4207,Manisha Shetty,Female,9904166211,manisha.shetty30@gmail.com
24KP4C3985,Surya Dandekar,Male,9586023203,surya.dandekar47@gmail.com
24KP1A6199,Harshita Naik,Female,9870240505,harshita.naik61@gmail.com
24KP5D5743,Aman Kapoor,Male,9101825713,aman.kapoor26@gmail.com
24KP3H3567,Kriti Krishnan,Female,9744403553,kriti.krishnan38@gmail.com
24KP3H4589,Arjun Kotian,Male,9640256968,arjun.kotian17@gmail.com
24KP2B5814,Sneha Tiwari,Female,9356008287,sneha.tiwari75@gmail.com
24KP4C5627,Sahil Malhotra,Male,9221140065,sahil.malhotra61@gmail.com
24KP6E4979,Garima Das,Female,9273334278,garima.das88@gmail.com
24KP6E5521,Arnav Kulkarni,Male,9270456244,arnav.kulkarni67@gmail.com
24KP4C5745,Sakshi Pratap,Female,9366796870,sakshi.pratap64@gmail.com
24KP3H5568,Siddharth Dubey,Male,9326788932,siddharth.dubey28@gmail.com
24KP3H3639,Ipsita Shetty,Female,9610564554,ipsita.shetty76@gmail.com
24KP5D3077,Tanmay Bhat,Male,9313672768,tanmay.bhat42@gmail.com
24KP3H5635,Riya Menon,Female,9594891255,riya.menon26@gmail.com
24KP3H5996,Siddharth Chatterjee,Male,9326722675,siddharth.chatterjee90@gmail.com
24KP4C6414,Tanvi Rao,Female,9397668409,tanvi.rao43@gmail.com
24KP4C6473,Raghav Parekh,Male,9323126313,raghav.parekh75@gmail.com
24KP3H3897,Radhika Tiwari,Female,9452413178,radhika.tiwari51@gmail.com
