institutionId,fullName,gender,phoneNumber,email
24KP1A6000,Surya Rane,Male,9898561096,surya.rane86@gmail.com
24KP1A6001,Geetanjali Jha,Female,9991027506,geetanjali.jha16@gmail.com
24KP1A6002,Vishal Mahajan,Male,9583574778,vishal.mahajan44@gmail.com
24KP1A6003,Jyoti Rawat,Female,9784621970,jyoti.rawat83@gmail.com
24KP1A6004,Siddharth Bhat,Male,9842643403,siddharth.bhat16@gmail.com
24KP1A6005,Hema Bora,Female,9748587621,hema.bora46@gmail.com
24KP1A6006,Nakul Chauhan,Male,9537552181,nakul.chauhan55@gmail.com
24KP1A6007,Trisha Khurana,Female,9508586098,trisha.khurana86@gmail.com
24KP1A6008,Aman Tripathi,Male,9440581372,aman.tripathi44@gmail.com
24KP1A6009,Meera Mahajan,Female,9988914361,meera.mahajan40@gmail.com
24KP1A6010,Manav Banerjee,Male,9857175881,manav.banerjee63@gmail.com
24KP1A6011,Meera Joshi,Female,9639209065,meera.joshi27@gmail.com
24KP1A6012,Yash Dubey,Male,9198707508,yash.dubey65@gmail.com
24KP1A6013,Tanvi Joshi,Female,9806430982,tanvi.joshi81@gmail.com
24KP1A6014,Kunal Parekh,Male,9580396844,kunal.parekh54@gmail.com
24KP1A6015,Ipsita Menon,Female,9597110003,ipsita.menon88@gmail.com
24KP1A6016,Pranav Gaur,Male,9975699450,pranav.gaur27@gmail.com
24KP1A6017,Garima Jha,Female,9902654314,garima.jha66@gmail.com
24KP1A6018,Anirudh Kotian,Male,9670028941,anirudh.kotian55@gmail.com
24KP1A6019,Meera Patil,Female,9423793707,meera.patil81@gmail.com
24KP1A6020,Jatin Kotian,Male,9109961258,jatin.kotian61@gmail.com
24KP1A6021,Kriti Zaveri,Female,9229801777,kriti.zaveri80@gmail.com
24KP1A6022,Rajat Mehta,Male,9715919504,rajat.mehta17@gmail.com
24KP1A6023,Ojaswini Sinha,Female,9436411677,ojaswini.sinha75@gmail.com
24KP1A6024,Chirag Rao,Male,9148840921,chirag.rao22@gmail.com
24KP1A6025,Meera Tiwari,Female,9692473435,meera.tiwari79@gmail.com
24KP1A6026,Omkar Chawla,Male,9507827288,omkar.chawla86@gmail.com
24KP1A6027,Nivedita Ghosh,Female,9434905630,nivedita.ghosh79@gmail.com
24KP1A6028,Saurabh Kapoor,Male,9821774895,saurabh.kapoor67@gmail.com
24KP1A6029,Divya Kapoor,Female,9573241188,divya.kapoor29@gmail.com
24KP1A6030,Mohit Pillai,Male,9147249963,mohit.pillai85@gmail.com
24KP1A6031,Meera Yadav,Female,9591012945,meera.yadav51@gmail.com
24KP1A6032,Varun Chawla,Male,9484449545,varun.chawla21@gmail.com
24KP1A6033,Ipsita Bhatt,Female,9991564282,ipsita.bhatt88@gmail.com
24KP1A6034,Arjun Sen,Male,9341627145,arjun.sen50@gmail.com
24KP1A6035,Simran Bhat,Female,9240850740,simran.bhat19@gmail.com
24KP1A6036,Ashwin Kotian,Male,9524573101,ashwin.kotian21@gmail.com
24KP1A6037,Radhika Bora,Female,9701993196,radhika.bora31@gmail.com
24KP1A6038,Pratik Desai,Male,9396321493,pratik.desai62@gmail.com
24KP1A6039,Meera Verma,Female,9341402197,meera.verma12@gmail.com
24KP1A6040,Karthik Malhotra,Male,9815049754,karthik.malhotra13@gmail.com
